Fecha,Temp_Max,Temp_Min,Temp_Prom,Humedad_Max,Humedad_Min,Humedad_Prom,Lluvia,Presion,Viento_Max,Año,Decada
1994-09-07,30.1,22.3,25.69,95,64,83.88,8.3,1005.13,6.3,1994,1990
1994-09-08,28.6,22.6,25.32,95,72,87.21,8.0,1004.77,6.5,1994,1990
1994-09-09,28.6,21.8,24.58,99,71,88.88,11.3,1005.33,7.7,1994,1990
1994-09-10,28.6,21.4,24.72,99,73,89.5,14.4,1005.42,6.5,1994,1990
1994-09-11,28.2,22.3,24.53,96,74,90.88,27.3,1004.6,6.0,1994,1990
1994-09-12,28.6,22.3,24.79,99,76,91.08,13.5,1004.95,5.6,1994,1990
1994-09-13,29.0,21.7,24.32,99,73,91.5,15.8,1005.51,7.9,1994,1990
1994-09-14,29.9,22.1,24.66,99,66,90.08,9.2,1005.64,7.2,1994,1990
1994-09-15,28.7,21.8,24.5,99,73,91.12,19.4,1004.95,8.3,1994,1990
1994-09-16,29.3,21.9,25.04,99,71,88.75,8.2,1005.09,7.4,1994,1990
1994-09-17,28.0,22.5,24.68,98,82,91.75,19.2,1005.57,7.6,1994,1990
1994-09-18,28.6,21.8,24.53,99,79,91.25,8.6,1005.41,7.7,1994,1990
1994-09-19,27.5,22.4,24.8,98,81,90.58,9.9,1006.0,6.5,1994,1990
1994-09-20,28.6,22.6,25.12,95,71,87.17,8.5,1005.79,8.1,1994,1990
1994-09-21,28.1,22.4,24.58,96,77,90.29,5.7,1005.64,8.1,1994,1990
1994-09-22,26.8,22.0,24.22,96,82,91.21,13.0,1004.71,9.1,1994,1990
1994-09-23,27.4,22.0,24.19,99,79,92.46,13.2,1004.84,10.9,1994,1990
1994-09-24,27.0,22.5,23.85,99,83,94.21,20.0,1005.59,12.2,1994,1990
1994-09-25,26.5,22.1,23.32,100,81,95.33,24.8,1005.67,9.4,1994,1990
1994-09-26,26.2,22.0,23.6,99,82,93.33,10.9,1005.85,10.0,1994,1990
1994-09-27,26.9,21.8,23.61,99,79,93.21,11.2,1007.02,11.2,1994,1990
1994-09-28,28.3,22.1,23.98,98,72,90.5,24.9,1007.39,8.0,1994,1990
1994-09-29,26.5,21.5,23.62,99,83,92.54,25.9,1006.34,6.8,1994,1990
1994-09-30,28.2,20.8,23.63,99,72,91.0,25.1,1005.84,7.6,1994,1990
1994-10-01,27.3,20.5,23.63,99,75,89.96,6.1,1005.02,6.3,1994,1990
1994-10-02,28.0,20.9,24.07,99,77,90.96,7.0,1004.62,8.6,1994,1990
1994-10-03,27.9,22.0,24.39,96,77,90.08,10.9,1004.77,7.3,1994,1990
1994-10-04,28.5,21.5,24.19,99,72,89.25,11.3,1005.02,6.1,1994,1990
1994-10-05,28.1,21.3,24.15,95,69,88.17,4.7,1005.41,8.4,1994,1990
1994-10-06,27.2,22.2,23.98,96,73,89.58,4.8,1006.37,8.0,1994,1990
1994-10-07,28.6,21.1,23.81,96,70,89.12,19.6,1006.42,7.2,1994,1990
1994-10-08,26.8,20.9,23.28,96,80,91.0,8.9,1006.26,8.6,1994,1990
1994-10-09,26.7,21.3,23.25,96,81,91.58,12.8,1006.02,7.8,1994,1990
1994-10-10,27.1,20.8,23.13,99,80,92.96,8.1,1005.92,8.3,1994,1990
1994-10-11,27.0,21.0,23.25,99,80,92.67,15.9,1006.07,9.6,1994,1990
1994-10-12,27.4,20.5,23.14,99,80,93.62,30.0,1005.74,9.2,1994,1990
1994-10-13,28.5,19.9,23.71,99,68,88.96,15.3,1005.35,9.4,1994,1990
1994-10-14,27.2,20.9,23.71,98,80,91.33,10.9,1005.63,6.5,1994,1990
1994-10-15,27.4,21.4,24.07,98,76,90.79,4.5,1006.22,8.4,1994,1990
1994-10-16,27.6,21.9,24.18,97,73,88.67,6.0,1006.3,8.7,1994,1990
1994-10-17,26.5,22.2,23.89,96,84,91.46,18.7,1005.45,6.1,1994,1990
1994-10-18,27.4,21.5,23.7,99,76,91.29,30.6,1005.07,8.0,1994,1990
1994-10-19,26.1,21.0,23.44,99,83,91.88,14.7,1005.65,8.9,1994,1990
1994-10-20,27.7,20.7,23.43,98,72,90.12,12.8,1005.4,7.2,1994,1990
1994-10-21,27.3,20.9,23.84,98,75,89.88,6.8,1004.9,7.5,1994,1990
1994-10-22,27.9,21.0,23.98,96,75,89.12,8.1,1004.99,8.9,1994,1990
1994-10-23,27.5,21.0,23.88,99,73,89.75,22.1,1005.86,7.2,1994,1990
1994-10-24,28.0,21.0,23.75,99,68,89.75,11.6,1006.89,8.8,1994,1990
1994-10-25,25.0,21.6,23.04,99,92,96.08,19.6,1007.43,5.9,1994,1990
1994-10-26,27.9,21.1,23.92,97,74,89.62,10.9,1007.29,6.2,1994,1990
1994-10-27,28.2,20.9,24.35,99,72,87.42,4.1,1006.32,6.2,1994,1990
1994-10-28,28.4,21.5,24.15,96,71,88.08,11.1,1005.44,6.5,1994,1990
1994-10-29,28.9,21.5,24.69,95,67,84.71,5.9,1004.95,6.8,1994,1990
1994-10-30,29.4,22.1,25.09,95,65,84.12,3.8,1003.73,5.9,1994,1990
1994-10-31,27.8,21.8,24.63,93,76,87.12,11.2,1003.81,6.7,1994,1990
1994-11-01,26.1,21.7,23.38,99,85,94.96,28.9,1005.15,7.7,1994,1990
